edge	sum_in	sum_out
1193	8.87254	18.5919
1730	5.33195	4.86495
1739	11.3242	10.3323
923	41.8346	79.3219
953	46.0409	87.2974
1191	1.06989	4.62298
2333	8.71045	7.94755
2695	7.24765	6.61286
2366	4.71987	8.94926
2658	9.82809	18.6349
487	4.28249	18.5046
2050	6.52964	28.2146
160	8.78659	8.01702
356	0.97353	0.888264
1251	6.45433	5.88903
2884	10.8499	9.89962
1250	1.41383	3.24023
2883	3.87046	7.82343
